ACCEPT	Confirm
HELP_SCREEN_CAPTURE	Save screenshot: Print or Print (location is the folder "Metin2 \ screenshot")
HELP_SHOW_ALL_NAME	Show name: Alt
HELP_SP	Mana Points (MP)
HELP_SYSTEM_BUTTON	system keys
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. Inventory
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. Inventory
INVENTORY_PAGE_BUTTON_TOOLTIP_3	3. Inventory
INVENTORY_PAGE_BUTTON_TOOLTIP_4	4. Inventory
INVENTORY_TITLE	inventory
ITEM_MALL	Item Shop
LOAD_ERROR	The data file is corrupted. Please reinstall client. Now press the ESC key.
LOGIN_CONNECT	Connect
LOGIN_CONNECTING	You will be connected to the server.
LOGIN_DEFAULT_SERVERADDR	Server Name, Channel 1
LOGIN_EXIT	Exit
LOGIN_REGION_TITLE	Choose location for billing
LOGIN_SELECT_BUTTON	select
LOGIN_SELECT_EXIT	Exit
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Select server
MALL_PASSWORD_TITLE	password
MALL_TITLE	Itemshop camp
MALL2_TITLE	Personal Warehouse
MARKET_TITLE	shop
MARKLIST_REFRESH	Update
MARKLIST_TITLE	Register guild characters
MESSAGE	This is a message
MESSENGER_ADD_FRIEND	Add friend
MESSENGER_DELETE_FRIEND	Delete friend
MESSENGER_MOBILE	send SMS
MESSENGER_OPEN_GUILD	Open guild window
MESSENGER_TITLE	friends
MESSENGER_USE_GUILD_MOVE_SKILL	Use the guild movement skill
MESSENGER_WHISPER	whisper
MINIMIZE	Minimize
MOUSEBUTTON_ATTACK	attack
MOUSEBUTTON_AUTO_ATTACK	Automatically attack
MOUSEBUTTON_CAMERA	camera
MOUSEBUTTON_SKILL	skills
MUSICLIST_TITLE	music selection
NO	No
OK	OK
OPTION_ALWAYS_SHOW_NAME	name
OPTION_ALWAYS_SHOW_NAME_OFF	limited
OPTION_ALWAYS_SHOW_NAME_ON	always
OPTION_BLOCK	blocking
OPTION_BLOCK_EXCHANGE	action
OPTION_BLOCK_FRIEND	friends
OPTION_BLOCK_GUILD	guild
OPTION_BLOCK_PARTY	group
OPTION_BLOCK_PARTY_REQUEST	request
OPTION_BLOCK_WHISPER	whisper
OPTION_CAMERA_DISTANCE	camera
OPTION_CAMERA_DISTANCE_LONG	remote
OPTION_CAMERA_DISTANCE_SHORT	Close
OPTION_DELETE_MOBILE_BUTTON	Delete mobile number
OPTION_EFFECT	hit indicator
OPTION_FOG	fog
OPTION_FOG_DENSE	much
OPTION_FOG_LIGHT	little
OPTION_FOG_MIDDLE	means
OPTION_INPUT_MOBILE_BUTTON	Enter mobile number
OPTION_MOBILE	phone
OPTION_MUSIC	music
OPTION_MUSIC_CHANGE	Jump
OPTION_MUSIC_DEFAULT_THEMA	Default title of Metin2
OPTION_NAME_COLOR	color name
OPTION_NAME_COLOR_EMPIRE	Empire Color
OPTION_NAME_COLOR_NORMAL	normal
OPTION_PVPMODE	PvP mode
OPTION_PVPMODE_FREE	free
OPTION_PVPMODE_FREE_TOOLTIP	You can attack all players.
OPTION_PVPMODE_GUILD	guild
OPTION_PVPMODE_GUILD_TOOLTIP	You may attack all players except guild members.
OPTION_PVPMODE_PEACE	peace
OPTION_PVPMODE_PEACE_TOOLTIP	You must not attack any players in your realm.
OPTION_PVPMODE_REVENGE	Hostile
OPTION_PVPMODE_REVENGE_TOOLTIP	You can only attack players with different attitudes.
OPTION_SALESTEXT	store name
OPTION_SALESTEXT_VIEW_OFF	hide
OPTION_SALESTEXT_VIEW_ON	show
OPTION_SOUND	effects
OPTION_TARGET_BOARD	Destination menu
OPTION_TARGET_BOARD_NO_VIEW	Close
OPTION_TARGET_BOARD_VIEW	ads
OPTION_TILING	graphics memory
OPTION_TILING_APPLY	Apply
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	options
OPTION_VIEW_CHAT	chat line
OPTION_VIEW_CHAT_OFF	hide
OPTION_VIEW_CHAT_ON	show
PARTY_MEMBER_INFO_NAME	Name of the group member
PASSWORD_DESC_1	Enter your password,
PASSWORD_DESC_2	to open the warehouse.
PASSWORD_DESC_3	Password already changed?
PASSWORD_DESC_4	If not, your password is "000000".
PASSWORD_DESC_5	Change your password in the warehouse.
PASSWORD_TITLE	memory-PW
PICK_MONEY_TITLE	parts
PRIVATE_SHOP_CLOSE_BUTTON	Close shop
PRIVATE_SHOP_NAME	Name of the store
PRIVATE_SHOP_TITLE	Set Private Store
REFINE_COST	Cost of improvement: 0 yang
REFINE_INFO	probability of successful improvement: 100%
REFINE_MONEY	processing fee
REFINE_SELECT	finishing
REFINE_TTILE	improvements
REPORT_VIOLENT_WHISPER	Peca
RESTART_HERE	Restart here
RESTART_TOWN	Restart in the city
SAFE_CHANGE_PASSWORD	Change password
SAFE_TITLE	camp
SELECT_ATT_GRADE	STR
SELECT_CREATE create
SELECT_DELETE	Delete
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Name of the empire
SELECT_EXIT	Exit
SELECT_HP	VIT
SELECT_LEVEL	level
SELECT_METIN_STONE_TITLE	Select Spiritstone
SELECT_NAME	name
SELECT_NO_GUILD	No guild
SELECT_PLAYTIME	playing time (min.)
SELECT_SELECT	start
SELECT_SP	INT
SELECT_TITLE	Select title
SHOP_BUY	Buy
SHOP_SELL	Sell
SHOP_TITLE	shop
SKILL_SUPPORT_TITLE	standard skills
STEP	purity
STEP_SELECT	purity
STRENGTH	amplifying
STRENGTH_SELECT	stage
SYSTEMOPTION_TITLE	System Options
SYSTEM_CHANGE	Char. switch
SYSTEM_EXIT	Stop game
SYSTEM_HELP	Help
SYSTEM_LOGOUT	Logout
SYSTEM_MALL	Item Shop
SYSTEM_OPTION	System Options
TASKBAR_CHARACTER	character [C / V / B / N]
TASKBAR_CHAT	Chat window [Enter]
TASKBAR_DISABLE	Disabled
TASKBAR_DRAGON_SOUL	Drachenstein Alchemy
TASKBAR_EXPAND	enlarge window
TASKBAR_INVENTORY	Inventory [I]
TASKBAR_MESSENGER	Friends [Alt + M]
TASKBAR_NEXT_QUICKSLOT	Next shortcut field [Shift + Number, Alt]
TASKBAR_PREV_QUICKSLOT	Previous Shortcut Field [Shift + Number]
TASKBAR_SYSTEM	options [ESC]
WHISPER_BAN	blocking
WHISPER_NAME	whisper
WHISPER_REPORT	report
WHISPER_SEND	send
YES	Yes
ZONE_MAP	overview map
SYSTEM_KILL	Stop immediately
DESTROY	Destroy
OPTION_MOB_INFO	Monster info
OPTION_MOB_INFO_AGGR agreesiv
OPTION_MOB_INFO_LEVEL	level
SELECT_YES_GUILD	test
NEW_EXCHANGE_YOU	you
MESSENGER_ADD_BLOCK	block
SELECT_TITLE_EMPIRE	Empire
SELECT_TITLE_NAME	Name
SELECT_TITLE_LEVEL	Level
SELECT_TITLE_PLAYTIME	Playtime
SELECT_TITLE_GUILD	Guild
MESSENGER_WARP	Teleport-System
